employer_name,reviews_count,culture_count,salaries_count,benefits_count,employer-website,employer-headquarters,employer-founded,employer-industry,employer-revenue,url,Geral,Cultura e valores,Diversidade e inclusão,Qualidade de vida,Alta liderança,Remuneração e benefícios,Oportunidades de carreira,Recomendam para outras pessoas(%),Perspectiva positiva da empresa(%),Segmento,Nome,match_percent,nome_normalizado,ref_Segmento_Bancos,ref_CNPJ_Bancos,ref_Nome_Bancos,CNPJ,cnpj,Ano,Trimestre,Categoria,Tipo,instituição_financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,Quantidade total de clientes - CCS e SCR,Quantidade de clientes - CCS,Quantidade de clientes - SCR
BNP Paribas,13000.0,4100.0,20000.0,3600.0,http://www.group.bnpparibas,"Paris, França",2000.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm",3.8,3.7,4.0,3.8,3.4,3.4,3.5,77.0,63.0,S3,BNP PARIBAS,100.0,BNPPARIBAS,S3,00000001522368,BNP PARIBAS - PRUDENCIAL,,,2021,1º,Grupo Secundário,Conglomerado,AGIBANK (conglomerado),54.79,58,140,73,271,1058431,790848,693843
BNP Paribas,13000.0,4100.0,20000.0,3600.0,http://www.group.bnpparibas,"Paris, França",2000.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm",3.8,3.7,4.0,3.8,3.4,3.4,3.5,77.0,63.0,S3,BNP PARIBAS,100.0,BNPPARIBAS,S3,00000001522368,BNP PARIBAS - PRUDENCIAL,,,2021,1º,Top 10,Conglomerado,BB (conglomerado),21.25,1463,2782,2225,6470,68844801,65031349,30167056
BNP Paribas,13000.0,4100.0,20000.0,3600.0,http://www.group.bnpparibas,"Paris, França",2000.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm",3.8,3.7,4.0,3.8,3.4,3.4,3.5,77.0,63.0,S3,BNP PARIBAS,100.0,BNPPARIBAS,S3,00000001522368,BNP PARIBAS - PRUDENCIAL,,,2021,1º,Grupo Secundário,Conglomerado,C6 BANK (conglomerado),979.53,5940,598,207,6745,6064085,5139889,1748590
BNP Paribas,13000.0,4100.0,20000.0,3600.0,http://www.group.bnpparibas,"Paris, França",2000.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm",3.8,3.7,4.0,3.8,3.4,3.4,3.5,77.0,63.0,S3,BNP PARIBAS,100.0,BNPPARIBAS,S3,00000001522368,BNP PARIBAS - PRUDENCIAL,,,2021,1º,Grupo Secundário,Conglomerado,COLOMBO (conglomerado),,0,3,1,4,331101,0,331101
BNP Paribas,13000.0,4100.0,20000.0,3600.0,http://www.group.bnpparibas,"Paris, França",2000.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm",3.8,3.7,4.0,3.8,3.4,3.4,3.5,77.0,63.0,S3,BNP PARIBAS,100.0,BNPPARIBAS,S3,00000001522368,BNP PARIBAS - PRUDENCIAL,,,2021,1º,Grupo Secundário,Conglomerado,FINAXIS (conglomerado),,0,1,0,1,4066,4066,0
BNP Paribas,13000.0,4100.0,20000.0,3600.0,http://www.group.bnpparibas,"Paris, França",2000.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm",3.8,3.7,4.0,3.8,3.4,3.4,3.5,77.0,63.0,S3,BNP PARIBAS,100.0,BNPPARIBAS,S3,00000001522368,BNP PARIBAS - PRUDENCIAL,,,2021,1º,Grupo Secundário,Conglomerado,GENIAL (conglomerado),,5,3,2,10,16008,16003,35
BNP Paribas,13000.0,4100.0,20000.0,3600.0,http://www.group.bnpparibas,"Paris, França",2000.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm",3.8,3.7,4.0,3.8,3.4,3.4,3.5,77.0,63.0,S3,BNP PARIBAS,100.0,BNPPARIBAS,S3,00000001522368,BNP PARIBAS - PRUDENCIAL,,,2021,1º,Grupo Secundário,Conglomerado,GM (conglomerado),,5,14,23,42,309105,473,308711
BNP Paribas,13000.0,4100.0,20000.0,3600.0,http://www.group.bnpparibas,"Paris, França",2000.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm",3.8,3.7,4.0,3.8,3.4,3.4,3.5,77.0,63.0,S3,BNP PARIBAS,100.0,BNPPARIBAS,S3,00000001522368,BNP PARIBAS - PRUDENCIAL,,,2021,1º,Grupo Secundário,Conglomerado,GRUPO ZEMA (conglomerado),,1,4,4,9,439232,570,438672
BNP Paribas,13000.0,4100.0,20000.0,3600.0,http://www.group.bnpparibas,"Paris, França",2000.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm",3.8,3.7,4.0,3.8,3.4,3.4,3.5,77.0,63.0,S3,BNP PARIBAS,100.0,BNPPARIBAS,S3,00000001522368,BNP PARIBAS - PRUDENCIAL,,,2021,1º,Grupo Secundário,Conglomerado,HERVAL - HS (conglomerado),,3,7,0,10,213321,13314,202222
BNP Paribas,13000.0,4100.0,20000.0,3600.0,http://www.group.bnpparibas,"Paris, França",2000.0,"/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm",Mais de US$ 10 bilhões,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm",3.8,3.7,4.0,3.8,3.4,3.4,3.5,77.0,63.0,S3,BNP PARIBAS,100.0,BNPPARIBAS,S3,00000001522368,BNP PARIBAS - PRUDENCIAL,,,2021,1º,Grupo Secundário,Conglomerado,MÁXIMA (conglomerado),568.89,57,44,18,119,100194,4444,95896
